dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2018-01-14,0,0,"kcal","0","30",0,12
2018-01-15,0,0,"kcal","0","30",0,12
2018-01-16,356.837,630,"kcal","20","30",13,12
2018-01-17,409.932,630,"kcal","21","30",17,12
2018-01-18,369.308,630,"kcal","10","30",15,12
2018-01-19,257.439,630,"kcal","11","30",9,12
2018-01-20,337.801,630,"kcal","22","30",13,12
2018-01-21,419.889,630,"kcal","12","30",8,12
2018-01-22,259.989,630,"kcal","10","30",10,12
2018-01-23,337.471,630,"kcal","12","30",16,12
2018-01-24,296.327,630,"kcal","13","30",13,12
2018-01-25,312.117,630,"kcal","11","30",17,12
2018-01-26,527.353,630,"kcal","38","30",14,12
2018-01-27,666.704,630,"kcal","95","30",8,12
2018-01-28,5.48609,630,"kcal","0","30",1,12
2018-01-29,389.845,630,"kcal","26","30",13,12
2018-01-30,242.015,630,"kcal","14","30",10,12
2018-01-31,395.799,630,"kcal","23","30",17,12
2018-02-01,361.921,630,"kcal","19","30",16,12
2018-02-02,323.182,630,"kcal","11","30",10,12
2018-02-03,577.055,630,"kcal","55","30",9,12
2018-02-04,571.142,630,"kcal","33","30",10,12
2018-02-05,256.805,630,"kcal","12","30",10,12
2018-02-06,284.875,630,"kcal","11","30",12,12
2018-02-07,276.388,630,"kcal","16","30",11,12
2018-02-08,306.838,630,"kcal","9","30",12,12
2018-02-09,236.104,630,"kcal","13","30",10,12
2018-02-10,0.148,630,"kcal","0","30",0,12
2018-02-11,394.048,630,"kcal","69","30",9,12
2018-02-12,236.247,630,"kcal","12","30",8,12
2018-02-13,382.948,630,"kcal","14","30",15,12
2018-02-14,241.511,630,"kcal","3","30",12,12
2018-02-15,262.774,630,"kcal","20","30",10,12
2018-02-16,382.999,630,"kcal","5","30",14,12
2018-02-17,108.859,630,"kcal","1","30",7,12
2018-02-18,434.908,630,"kcal","17","30",10,12
2018-02-19,271.775,630,"kcal","12","30",10,12
2018-02-20,277.171,630,"kcal","8","30",13,12
2018-02-21,268.023,630,"kcal","10","30",10,12
2018-02-22,405.786,630,"kcal","16","30",13,12
2018-02-23,291.31,630,"kcal","8","30",9,12
2018-02-24,723.823,630,"kcal","136","30",9,12
2018-02-25,378.166,630,"kcal","65","30",7,12
2018-02-26,0,630,"kcal","0","30",0,12
2018-02-27,348.587,630,"kcal","20","30",13,12
2018-02-28,295.39,630,"kcal","27","30",10,12
2018-03-01,310.526,630,"kcal","14","30",15,12
2018-03-02,415.008,630,"kcal","15","30",14,12
2018-03-03,20.33,630,"kcal","0","30",1,12
2018-03-05,0,630,"kcal","0","30",0,12
2018-03-06,334.141,630,"kcal","9","30",12,12
2018-03-07,270.089,630,"kcal","13","30",10,12
2018-03-08,369.741,630,"kcal","15","30",13,12
2018-03-09,243.109,630,"kcal","16","30",9,12
2018-03-10,292.676,630,"kcal","30","30",3,12
2018-03-11,0,630,"kcal","0","30",0,12
2018-03-12,319.866,630,"kcal","22","30",12,12
2018-03-13,262.217,630,"kcal","9","30",11,12
2018-03-14,210.045,630,"kcal","4","30",9,12
2018-03-15,192.579,630,"kcal","20","30",7,12
2018-03-16,248.675,630,"kcal","16","30",10,12
2018-03-18,4.833,630,"kcal","2","30",0,12
2018-03-19,300.723,630,"kcal","6","30",11,12
2018-03-20,349.545,630,"kcal","13","30",14,12
2018-03-21,432.437,630,"kcal","34","30",9,12
2018-03-22,243.389,630,"kcal","6","30",13,12
2018-03-23,202.615,630,"kcal","6","30",8,12
2018-03-24,100.041,630,"kcal","7","30",4,12
2018-03-25,4.922,630,"kcal","0","30",1,12
2018-03-26,16.533,630,"kcal","2","30",2,12
2018-03-27,158.689,630,"kcal","5","30",9,12
2018-03-28,2.534,630,"kcal","1","30",0,12
2018-03-29,250.172,630,"kcal","5","30",9,12
2018-03-30,19.268,630,"kcal","0","30",2,12
2018-03-31,662.593,630,"kcal","42","30",10,12
2018-04-01,59.542,630,"kcal","10","30",2,12
2018-04-02,55.532,630,"kcal","0","30",4,12
2018-04-03,430.484,630,"kcal","22","30",12,12
2018-04-04,268.227,630,"kcal","17","30",9,12
2018-04-05,271.809,630,"kcal","21","30",12,12
2018-04-06,242.232,630,"kcal","17","30",9,12
2018-04-07,927.692,630,"kcal","95","30",11,12
2018-04-08,323.984,630,"kcal","15","30",11,12
2018-04-09,273.428,630,"kcal","17","30",12,12
2018-04-10,402.777,630,"kcal","35","30",12,12
2018-04-11,315.85,630,"kcal","20","30",14,12
2018-04-12,340.176,630,"kcal","18","30",15,12
2018-04-13,326.55,630,"kcal","18","30",14,12
2018-04-14,122.22,630,"kcal","7","30",5,12
2018-04-15,3.631,630,"kcal","0","30",1,12
2018-04-16,244.729,630,"kcal","15","30",11,12
2018-04-17,275.619,630,"kcal","13","30",13,12
2018-04-18,351.328,630,"kcal","20","30",13,12
2018-04-19,364.18,630,"kcal","13","30",14,12
2018-04-20,514.987,630,"kcal","47","30",14,12
2018-04-21,513.593,630,"kcal","63","30",13,12
2018-04-22,145.443,630,"kcal","13","30",5,12
2018-04-23,256.131,630,"kcal","14","30",12,12
2018-04-24,282.069,630,"kcal","23","30",10,12
2018-04-28,0,630,"kcal","0","30",0,12
2018-04-29,0.491,630,"kcal","0","30",0,12
2018-04-30,473.437,630,"kcal","30","30",17,12
2018-05-01,295.296,630,"kcal","14","30",12,12
2018-05-02,244.884,630,"kcal","10","30",10,12
2018-05-03,302.605,630,"kcal","14","30",14,12
2018-05-04,302.003,630,"kcal","25","30",10,12
2018-05-05,0.237,630,"kcal","0","30",0,12
2018-05-06,555.817,630,"kcal","16","30",11,12
2018-05-07,339.016,630,"kcal","19","30",14,12
2018-05-08,407.315,630,"kcal","16","30",13,12
2018-05-09,296.473,630,"kcal","19","30",11,12
2018-05-10,279.56,630,"kcal","10","30",10,12
2018-05-11,314.022,630,"kcal","16","30",11,12
2018-05-12,156.382,630,"kcal","22","30",5,12
2018-05-13,0,630,"kcal","0","30",0,12
2018-05-14,351.466,630,"kcal","16","30",12,12
2018-05-15,310.218,630,"kcal","26","30",11,12
2018-05-21,0,630,"kcal","0","30",0,12
2018-05-22,344.55,630,"kcal","10","30",14,12
2018-05-23,247.006,630,"kcal","9","30",11,12
2018-05-24,227.972,630,"kcal","10","30",10,12
2018-05-25,192.293,630,"kcal","12","30",9,12
2018-05-26,516.761,630,"kcal","40","30",6,12
2018-05-27,320.485,630,"kcal","40","30",5,12
2018-05-28,250.47,630,"kcal","13","30",11,12
2018-05-29,359.753,630,"kcal","11","30",14,12
2018-05-30,5.02,630,"kcal","1","30",0,12
2018-05-31,376.475,630,"kcal","18","30",13,12
2018-06-01,248.38,630,"kcal","11","30",11,12
2018-06-04,0,630,"kcal","0","30",0,12
2018-06-05,362.011,630,"kcal","36","30",11,12
2018-06-06,305.323,630,"kcal","13","30",12,12
2018-06-07,278.853,630,"kcal","5","30",14,12
2018-06-08,824.685,630,"kcal","84","30",16,12
2018-06-09,169.388,630,"kcal","5","30",5,12
2018-06-10,0.306,630,"kcal","0","30",0,12
2018-06-11,128.484,630,"kcal","15","30",3,12
2018-06-12,244.196,630,"kcal","10","30",11,12
2018-06-13,195.926,630,"kcal","9","30",9,12
2018-06-14,279.554,630,"kcal","8","30",13,12
2018-06-15,280.912,630,"kcal","20","30",9,12
2018-06-17,0,630,"kcal","0","30",0,12
2018-06-18,236.703,630,"kcal","11","30",9,12
2018-06-19,108.052,630,"kcal","7","30",3,12
2018-06-20,145.517,630,"kcal","12","30",5,12
2018-06-21,236.846,630,"kcal","18","30",9,12
2018-06-22,191.973,630,"kcal","7","30",8,12
2018-07-01,0,630,"kcal","0","30",0,12
2018-07-02,218.712,630,"kcal","10","30",7,12
2018-07-03,251.974,630,"kcal","10","30",11,12
2018-07-04,237.628,630,"kcal","18","30",10,12
2018-07-05,292.41,630,"kcal","9","30",12,12
2018-07-06,253.879,630,"kcal","23","30",9,12
2018-07-08,0,630,"kcal","0","30",0,12
2018-07-09,203.387,630,"kcal","6","30",11,12
2018-07-10,189.792,630,"kcal","5","30",9,12
2018-07-11,348.263,630,"kcal","15","30",12,12
2018-07-12,0,630,"kcal","0","30",0,12
2018-07-13,288.456,630,"kcal","30","30",7,12
2018-07-15,0.013,630,"kcal","0","30",0,12
2018-07-16,552.394,630,"kcal","58","30",12,12
2018-07-17,222.218,630,"kcal","12","30",8,12
2018-07-18,434.213,630,"kcal","42","30",13,12
2018-07-19,427.95,630,"kcal","43","30",10,12
2018-07-20,332.64,630,"kcal","19","30",8,12
2018-07-22,0,630,"kcal","0","30",0,12
2018-07-23,500.888,630,"kcal","57","30",12,12
2018-07-24,342.457,630,"kcal","24","30",11,12
2018-07-25,1.566,630,"kcal","1","30",0,12
2018-07-26,325.601,630,"kcal","17","30",12,12
2018-07-29,1.89,630,"kcal","1","30",0,12
2018-07-30,213.023,630,"kcal","16","30",7,12
2018-07-31,365.765,630,"kcal","27","30",11,12
2018-08-04,0,630,"kcal","0","30",0,12
2018-08-05,7.993,630,"kcal","0","30",1,12
2018-08-09,0,630,"kcal","0","30",0,12
2018-08-10,224.532,630,"kcal","16","30",8,12
2018-08-11,5.106,630,"kcal","2","30",0,12
2018-08-12,328.285,630,"kcal","17","30",8,12
2018-08-13,310.011,630,"kcal","24","30",10,12
2018-08-14,4.741,630,"kcal","1","30",0,12
2018-08-15,229.946,630,"kcal","15","30",10,12
2018-08-19,0,630,"kcal","0","30",0,12
2018-08-20,2.684,630,"kcal","0","30",1,12
2018-08-21,378.295,630,"kcal","21","30",12,12
2018-08-22,0,630,"kcal","0","30",0,12
2018-08-23,323.163,630,"kcal","35","30",11,12
2018-08-29,0,630,"kcal","0","30",0,12
2018-08-30,266.604,630,"kcal","12","30",11,12
2018-09-05,0,630,"kcal","0","30",0,12
2018-09-06,510.637,630,"kcal","43","30",10,12
2018-09-15,0,630,"kcal","0","30",0,12
2018-09-16,39.973,630,"kcal","4","30",2,12
2018-09-17,3.778,630,"kcal","2","30",0,12
2018-09-18,208.252,630,"kcal","13","30",9,12
2018-09-21,0,630,"kcal","0","30",0,12
2018-09-22,333.343,630,"kcal","24","30",11,12
2018-09-23,0.058,630,"kcal","0","30",0,12
2018-09-24,0.262,630,"kcal","0","30",0,12
2018-09-26,0,630,"kcal","0","30",0,12
2018-09-27,0,630,"kcal","0","30",0,12
2018-10-02,0,630,"kcal","0","30",0,12
2018-10-03,0,630,"kcal","0","30",0,12
2018-10-05,0,630,"kcal","0","30",0,12
2018-10-06,14.935,630,"kcal","1","30",1,12
2018-10-08,0,630,"kcal","0","30",0,12
2018-10-09,186.571,630,"kcal","7","30",6,12
2018-10-10,408.57,630,"kcal","33","30",13,12
2018-10-11,386.055,630,"kcal","20","30",12,12
2018-10-12,447.43,630,"kcal","24","30",13,12
2018-10-13,863.354,630,"kcal","50","30",14,12
2018-10-14,444.939,630,"kcal","17","30",10,12
2018-10-15,341.087,630,"kcal","8","30",10,12
2018-10-16,341.087,630,"kcal","16","30",10,12
2018-10-17,350.963,630,"kcal","20","30",10,12
2018-10-18,432.608,630,"kcal","20","30",15,12
2018-10-19,555.054,630,"kcal","18","30",13,12
2018-10-20,395.783,630,"kcal","17","30",12,12
2018-10-21,216.343,630,"kcal","4","30",5,12
2018-10-22,131.782,630,"kcal","10","30",4,12
2018-10-23,327.237,630,"kcal","10","30",6,12
2018-10-24,419.406,630,"kcal","27","30",12,12
2018-10-25,508.317,630,"kcal","43","30",13,12
2018-10-26,218.671,630,"kcal","3","30",6,12
2018-10-27,349.524,630,"kcal","9","30",8,12
2018-10-28,421.662,630,"kcal","7","30",11,12
2018-10-29,493.419,630,"kcal","45","30",11,12
2018-10-30,376.239,630,"kcal","14","30",14,12
2018-10-31,296.577,630,"kcal","10","30",13,12
2018-11-01,529.919,630,"kcal","17","30",12,12
2018-11-02,453.048,630,"kcal","22","30",16,12
2018-11-03,579.254,630,"kcal","8","30",11,12
2018-11-04,3.565,630,"kcal","0","30",1,12
2018-11-05,244.677,630,"kcal","11","30",7,12
2018-11-06,573.222,630,"kcal","25","30",14,12
2018-11-07,459.717,630,"kcal","27","30",15,12
2018-11-08,362.533,630,"kcal","17","30",14,12
2018-11-09,421.905,630,"kcal","24","30",13,12
2018-11-10,511.209,630,"kcal","20","30",7,12
2018-11-11,4.81,630,"kcal","2","30",0,12
2018-11-12,380.653,630,"kcal","15","30",12,12
2018-11-13,520.012,630,"kcal","33","30",14,12
2018-11-14,334.496,630,"kcal","14","30",14,12
2018-11-15,412.6,630,"kcal","17","30",11,12
2018-11-16,360.768,630,"kcal","23","30",9,12
2018-11-17,256.184,630,"kcal","3","30",5,12
2018-11-18,690.562,630,"kcal","12","30",12,12
2018-11-19,433.302,630,"kcal","7","30",17,12
2018-11-20,269.247,630,"kcal","6","30",7,12
2018-11-21,0,630,"kcal","0","30",0,12
2018-11-22,402.623,630,"kcal","7","30",12,12
2018-11-23,445.066,630,"kcal","13","30",9,12
2018-11-24,776.816,630,"kcal","31","30",14,12
2018-11-25,213.193,630,"kcal","3","30",7,12
2018-11-26,391.782,630,"kcal","7","30",14,12
2018-11-27,463.992,630,"kcal","7","30",14,12
2018-11-28,331.776,630,"kcal","5","30",12,12
2018-11-29,437.19,630,"kcal","7","30",15,12
2018-11-30,497.011,630,"kcal","10","30",14,12
2018-12-01,2.336,630,"kcal","0","30",1,12
2018-12-02,0,630,"kcal","0","30",0,12
2018-12-03,388.346,630,"kcal","25","30",11,12
2018-12-04,349.434,630,"kcal","7","30",8,12
2018-12-05,631.985,630,"kcal","21","30",16,12
2018-12-06,23.767,630,"kcal","0","30",3,12
2018-12-07,478.204,630,"kcal","16","30",15,12
2018-12-08,5.644,630,"kcal","0","30",1,12
2018-12-09,0,630,"kcal","0","30",0,12
2018-12-10,169.717,630,"kcal","0","30",7,12
2018-12-11,524.333,630,"kcal","23","30",15,12
2018-12-12,484.859,630,"kcal","23","30",17,12
2018-12-13,437.834,630,"kcal","15","30",14,12
2018-12-14,667.93,630,"kcal","28","30",17,12
2018-12-15,10.014,630,"kcal","0","30",1,12
2018-12-16,651.368,630,"kcal","15","30",13,12
2018-12-17,438.504,630,"kcal","12","30",16,12
2018-12-18,328.1,630,"kcal","9","30",11,12
2018-12-19,413.648,630,"kcal","18","30",12,12
2018-12-20,452.783,630,"kcal","22","30",15,12
2018-12-21,5.944,630,"kcal","0","30",1,12
2018-12-22,646.136,630,"kcal","10","30",15,12
2018-12-23,560.96,630,"kcal","37","30",10,12
2018-12-24,538.816,630,"kcal","8","30",16,12
2018-12-25,486.106,630,"kcal","5","30",17,12
2018-12-26,248.877,630,"kcal","5","30",13,12
2018-12-27,0,630,"kcal","0","30",0,12
2018-12-28,403.32,630,"kcal","6","30",19,12
2018-12-29,552.643,630,"kcal","25","30",18,12
2018-12-30,221.005,630,"kcal","4","30",11,12
2018-12-31,454.613,630,"kcal","26","30",15,12
2019-01-01,287.702,630,"kcal","22","30",8,12
2019-01-02,213.741,630,"kcal","8","30",8,12
2019-01-03,272.915,630,"kcal","3","30",9,12
2019-01-04,296.697,630,"kcal","4","30",9,12
2019-01-05,111.528,630,"kcal","3","30",4,12
2019-01-06,375.041,630,"kcal","16","30",11,12
2019-01-07,57.534,630,"kcal","0","30",3,12
2019-01-08,202.353,630,"kcal","8","30",8,12
2019-01-09,311.53,630,"kcal","9","30",11,12
2019-01-10,347.484,630,"kcal","4","30",12,12
2019-01-11,241.682,630,"kcal","8","30",6,12
2019-01-12,0,630,"kcal","0","30",0,12
2019-01-13,333.361,630,"kcal","18","30",13,12
2019-01-14,305.157,630,"kcal","13","30",9,12
2019-01-15,218.31,630,"kcal","9","30",9,12
2019-01-16,0.606,630,"kcal","0","30",0,12
2019-01-17,373.821,630,"kcal","17","30",13,12
2019-01-18,283.637,630,"kcal","10","30",5,12
2019-01-19,306.912,630,"kcal","4","30",13,12
2019-01-20,22.271,630,"kcal","0","30",2,12
2019-01-21,4.96534,630,"kcal","0","30",1,12
2019-01-22,85.315,630,"kcal","1","30",5,12
2019-01-23,231.062,630,"kcal","3","30",12,12
2019-01-24,254.193,630,"kcal","15","30",7,12
2019-01-25,280.041,630,"kcal","9","30",11,12
2019-01-26,235.233,630,"kcal","2","30",11,12
2019-01-27,370.291,630,"kcal","7","30",14,12
2019-01-28,235.898,630,"kcal","2","30",7,12
2019-01-29,346.139,630,"kcal","9","30",6,12
2019-01-30,253.648,630,"kcal","10","30",7,12
