Date,SC (count),FC (count),MT (seconds),AEB (kcal),ET (seconds),SU (count),HRV (ms)
2018-01-13,8337,3.0,,,,,
2018-01-14,9058,2.0,1393.0,0.0,0.0,0.0,
2018-01-15,6697,23.0,,0.0,0.0,0.0,
2018-01-16,10752,9.0,689.0,356.837,1200.0,13.0,36.577275
2018-01-17,10649,5.0,,409.93199999999996,1260.0,17.0,
2018-01-18,12376,6.0,,369.30800000000005,600.0,15.0,37.5542
2018-01-19,10035,13.0,,257.439,660.0,9.0,53.743
2018-01-20,14288,9.0,1382.0,337.801,1320.0,13.0,37.75273333333333
2018-01-21,24595,4.0,,419.889,720.0,8.0,
2018-01-22,9850,11.0,1792.0,259.98900000000003,600.0,10.0,28.6433
2018-01-23,6884,4.0,705.0,337.471,720.0,16.0,27.996433333333332
2018-01-24,9626,13.0,,296.327,780.0,13.0,44.5369
2018-01-25,8022,5.0,,312.117,660.0,17.0,44.0616
2018-01-26,20136,14.0,,527.3530000000001,2280.0,14.0,35.783633333333334
2018-01-27,34061,13.0,1398.0,666.704,5700.0,8.0,36.5746
2018-01-28,9904,2.0,,5.48609,0.0,1.0,31.0015
2018-01-29,11680,15.0,,389.845,1560.0,13.0,50.46553333333333
2018-01-30,8940,12.0,,242.015,840.0,10.0,43.001933333333334
2018-01-31,10224,7.0,,395.79900000000004,1380.0,17.0,51.0712
2018-02-01,7629,4.0,,361.921,1140.0,16.0,60.928
2018-02-02,7242,4.0,,323.182,660.0,10.0,40.0554
2018-02-03,32643,12.0,,577.055,3300.0,9.0,35.36296
2018-02-04,25396,4.0,1351.0,571.1419999999999,1980.0,10.0,47.44839999999999
2018-02-05,10002,11.0,694.0,256.805,720.0,10.0,55.20935
2018-02-06,6403,4.0,1389.0,284.875,660.0,12.0,34.61325
2018-02-07,10447,11.0,,276.388,960.0,11.0,40.04505
2018-02-08,5349,4.0,990.0000000000001,306.83799999999997,540.0,12.0,30.138900000000003
2018-02-09,8803,12.0,991.0000000000001,236.104,780.0,10.0,
2018-02-10,8,,691.0,0.14800000000000002,0.0,0.0,
2018-02-11,22814,13.0,1597.0,394.048,4140.0,9.0,40.153733333333335
2018-02-12,9152,13.0,2272.0,236.247,720.0,8.0,38.76935
2018-02-13,11456,7.0,,382.94800000000004,840.0,15.0,31.6208
2018-02-14,10103,11.0,,241.511,180.0,12.0,37.4783
2018-02-15,7291,11.0,,262.774,1200.0,10.0,
2018-02-16,7464,2.0,,382.999,300.0,14.0,26.5236
2018-02-17,6722,5.0,,108.859,60.0,7.0,41.54493333333333
2018-02-18,29856,10.0,,434.908,1020.0,10.0,24.99185
2018-02-19,9889,11.0,,271.775,720.0,10.0,52.733999999999995
2018-02-20,6138,5.0,,277.171,480.0,13.0,36.35626666666667
2018-02-21,9352,9.0,,268.02299999999997,600.0,10.0,36.1144
2018-02-22,9721,10.0,,405.786,960.0,13.0,33.29585
2018-02-23,8101,4.0,,291.31,480.0,9.0,37.82906666666667
